epoch,loss,lr,val-loss,train-planningADE,train-planningFDE,train-predictionADE,train-predictionFDE,val-planningADE,val-planningFDE,val-predictionADE,val-predictionFDE
1,38.752821150280184,0.0004,37.723263150169736,4.553742613111224,11.122145970662435,5.649403220131283,7.957907767522903,4.288700694129581,10.632506506783622,5.613696370806013,7.940864631107876
2,37.499299821399504,0.0004,37.16117204938616,4.125335080283029,10.385063125973655,5.614746332168579,7.940492777597337,4.055370819000971,10.212953204200382,5.6133569195157005,7.936210825329735
3,37.11839121863956,0.0004,36.87052917480469,3.89364683060419,9.798314503261022,5.615369762693133,7.944249175843739,3.992783773513067,10.044597671145485,5.611003943852016,7.930101065408616
4,36.8791077931722,0.0004,36.573795772734144,3.8749662921542214,9.666905834561302,5.617979322160993,7.9466851098196845,3.8069155443282354,9.550610451471238,5.618283566974458,7.938773177918934
5,36.244646072387695,0.0004,34.85397602262951,3.8834385871887207,9.57749555224464,5.599364405586606,7.9255285149528865,3.8349955536070324,9.783784026191348,5.530066240401495,7.9111895107087635
6,34.70137423560733,0.0004,33.21503076099214,3.8112034457070485,9.66110256740025,5.482623895009358,7.815212068103609,3.8977819624401273,9.9089005561102,5.320197707130795,7.71958605448405
7,33.15588042849586,0.0004,32.64701425461542,4.025012232008434,10.094110102880569,5.265859728767758,7.609399148396084,4.01155728385562,9.95603779384068,5.145795958382743,7.446101949328468
8,32.99393054417202,0.0004,32.14332035609654,3.9054675102233887,9.942509923662458,5.137905325208392,7.39764894757952,3.666872092655727,9.47956116994222,5.104320287704468,7.349218663715181
9,34.636204310825896,0.0004,35.40826497759138,3.606498513902937,9.358513446081252,5.4318850835164385,7.68849271819705,3.641774813334147,9.535807223547073,5.520839770634969,7.842250653675625
10,35.76871790204729,0.0004,35.74037897019159,3.763468765077137,9.487059729439872,5.596123922438848,7.928998424893334,4.140021471750169,10.113137426830473,5.573697169621785,7.906781809670584
11,35.76928302219936,0.00034,35.377682095482236,4.068316970552717,9.983214423769997,5.587498278844924,7.9237500712985085,3.897952976680937,9.757043407076882,5.57160024415879,7.907776662281582
12,35.585244587489534,0.00034,34.998294012887136,4.02557541075207,9.920567989349365,5.5825297718956355,7.913125321978614,3.8286196844918385,9.412010669708252,5.573628947848365,7.889061462311518
13,35.0783759525844,0.00034,34.91044562203543,3.9307467256273543,9.715729145776658,5.582112380436489,7.931795335951305,3.724630367188227,9.248695691426596,5.533822218577067,7.85816384497143
14,34.880493799845375,0.00034,32.701064155215306,3.8858024733407155,9.664159593128023,5.532727298282442,7.832233190536499,3.7719756421588717,9.44375721613566,5.205480620974586,7.522588446026757
15,32.05859747387114,0.00034,31.853921345302037,3.932894366128104,9.785590535118466,5.138337271554129,7.475591614132836,3.9726960886092413,9.782703581310454,5.039573306129093,7.412876742226737
16,31.336417970203218,0.00034,30.711911973499117,3.7847539470309304,9.443877288273402,5.012595880599249,7.323483387629191,3.697172528221494,9.462537697383336,4.94611382484436,7.233928566887265
