epoch,loss,lr,val-loss,train-planningADE,train-planningFDE,train-predictionADE,train-predictionFDE,val-planningADE,val-planningFDE,val-predictionADE,val-predictionFDE
1,93.44171861921038,0.001,71.82085522242954,3.681971149785178,8.34585794721331,5.497886793954032,8.34789754833494,3.627416729927063,8.324374903951373,5.382284191676549,8.264308437279292
2,87.95195617675782,0.001,71.62282485961914,3.6259725638798304,8.345370289257595,5.362746042864663,8.236382962976183,3.304648297173636,7.881416964530945,5.361496497903551,8.214600002765655
3,87.12526228768485,0.001,70.90837636675154,3.4611948234694343,8.012590960093908,5.355603769847325,8.23311276095254,3.705831432342529,8.504390403202601,5.343113531385149,8.213788667746952
4,86.9469730922154,0.001,69.76205885750907,3.5376291172845025,8.219402636800494,5.372214584691184,8.236412142004285,3.3647539155823845,7.856118481499808,5.340611451012748,8.226130482128688
5,85.92841061183384,0.001,69.06486238752093,3.501203395639147,8.041113587788173,5.361281394958496,8.229786385808673,3.3046072534152438,7.653580604280744,5.347069702829633,8.251107696124485
6,85.01588690621513,0.001,67.99161654881068,3.5793631315231322,8.199340523992266,5.363833352497646,8.226753999505725,3.367244815826416,7.618395151410784,5.3503662569182255,8.241866408075605
7,83.6779283796038,0.001,68.46904779161726,3.5168835844312394,8.045170974731445,5.34834862947464,8.225129040649959,3.459319148744856,7.899012551988874,5.3358523947852,8.233370503357479
8,82.76428800310407,0.001,66.9703642981393,3.5054742183004106,7.957303013120379,5.362536261762892,8.206774585587638,3.4184942722320555,7.493136017663138,5.333653843402862,8.19912336553846
9,82.67254932948521,0.001,67.09376918247767,3.4732152138437544,7.822974457059588,5.370849738802229,8.227360790116446,3.2577605979783195,7.326332330703735,5.3485260333333695,8.269653744356972
10,82.54119229997907,0.001,66.8596802847726,3.454631006717682,7.795964278493609,5.35826027904238,8.227719404016222,3.318768766948155,7.398411457879202,5.352205715860639,8.237988216536385
11,82.3676702771868,0.001,67.38367317744664,3.469352960586548,7.80152154990605,5.361714696884155,8.207013814789908,3.3549535955701555,7.6402057307107105,5.331158699308123,8.21285764319556
12,81.17117260524205,0.001,66.78990165165493,3.361170150552477,7.6402699708938595,5.347950342723301,8.213258811405726,3.280240796293531,7.426720908709934,5.337939051219395,8.20930438211986
13,81.98843536376953,0.001,66.78889113834926,3.485907527378627,7.7837275743484495,5.341024642331259,8.211261883803777,3.33363641670772,7.5774170058114185,5.345874471323831,8.206495078972408
14,80.95498330252511,0.001,64.92654707772391,3.3897350226129803,7.4879720892225,5.345507391861507,8.205343188558306,3.2931963409696308,7.361662527493068,5.327136150428227,8.192795581477029
15,80.67692549569266,0.001,65.06919893537248,3.3394207920346943,7.357637671061925,5.35841874735696,8.189943657602583,3.2100555709430147,7.134471719605582,5.343529897076743,8.192963079043798
16,79.9096609388079,0.001,64.68215830666678,3.3909750631877356,7.394294772829328,5.352759785311562,8.190503709656852,3.2561066780771526,7.3336241040911,5.361972107206072,8.20313537291118
17,78.89634895324707,0.001,64.04447983333043,3.3409829037530083,7.276005843707494,5.357277335439409,8.203747270788465,3.2195550731250218,7.191017120225089,5.344884840079716,8.23040029661996
18,78.62365531921387,0.001,63.427337074279784,3.4069162556103296,7.457183558600289,5.347079067570823,8.21339386020388,3.24149375302451,7.181558414867946,5.3456689987863815,8.216549348831176
19,78.10400183541434,0.001,63.28438603537423,3.422546545096806,7.493151147024972,5.350274593489511,8.225298501764025,3.261028894356319,7.3141722542898995,5.350781622954777,8.204131649221694
20,76.72160824366978,0.001,64.33826555524554,3.3350887622152054,7.108208314010075,5.35118545293808,8.205015436240606,3.289815500804356,7.421638378075191,5.342526572091239,8.191421401500701
21,77.20221748352051,0.001,62.43794754573277,3.429259817940848,7.31773955140795,5.354645444665636,8.230130890437534,3.0433461461748395,6.776920570646014,5.356973453930446,8.235034358501434
22,76.32472359793526,0.001,61.92625465393066,3.1517958777291435,6.946461013385227,5.351948467322758,8.212233100618635,3.1675388148852757,6.985236041886466,5.3586280754634315,8.18819432428905
23,76.03688430786133,0.001,63.22490182604108,3.1517088753836497,6.975445672443935,5.349568578175136,8.203545897347587,3.152546444961003,6.991256816046579,5.3667458738599505,8.211805423668453
24,75.96616960253034,0.001,62.11936168670654,3.1245630843298775,6.940306329727173,5.356097115789141,8.274943547589439,3.1103452256747652,7.051620009967259,5.360070048059736,8.203953570978982
25,76.55193873814174,0.001,63.03921506064279,3.20120724099023,7.064905967031207,5.358949828147888,8.228855114323752,3.132960905347552,7.038129690715245,5.3742585931505475,8.221300673484802
26,76.30114250183105,0.001,60.28652708871024,3.343162775039673,7.319943465505328,5.359147482258933,8.225347684110915,3.0401691402707782,6.7731122970581055,5.365988879544394,8.231470458848136
27,75.4456307547433,0.001,59.934280967712404,3.1294333117348807,7.008329967090062,5.3692714929580685,8.220198239598956,3.0873266799109325,6.819004702568054,5.355782919270652,8.199283472129277
28,75.74977226257325,0.001,60.96913370404925,3.1901701927185058,7.111100288799831,5.36478727885655,8.20836295570646,3.116394908087594,6.987200375965664,5.343551785605294,8.21441079548427
