epoch,loss,lr,val-loss,train-planningADE,train-planningFDE,train-predictionADE,train-predictionFDE,val-planningADE,val-planningFDE,val-predictionADE,val-predictionFDE
1,79.74440580095563,0.0004,75.17670865740095,3.3814885139465334,7.28641266141619,5.385047619683402,8.220579515184674,3.1915763446262906,7.107222202845982,5.258262784140451,8.107556629180909
2,76.07057876586914,0.0004,73.63682403564454,3.216926724570138,7.189425618307931,5.347549629211426,8.176197971616473,3.0928930623190745,7.010066291264125,5.268005044119699,8.135399518694197
3,73.47012503487723,0.0004,71.52234006609235,3.0616866724831717,6.876743221282959,5.324422877175468,8.17098639351981,3.0691781180245536,6.836361476353237,5.301513944353376,8.118500491550991
4,72.56676134381975,0.0004,69.14232711791992,3.1105848721095493,6.858521161760603,5.3581990786961144,8.174280166625977,3.1000915595463345,6.860110201154437,5.329322835377284,8.154194137028286
5,70.63795667375837,0.0004,67.88863034929548,3.105187007359096,6.999882480076381,5.3756224632263185,8.172807346071515,3.0889434269496374,6.881310095105852,5.346269260134016,8.170623404639107
6,69.388136945452,0.0004,68.19049475533622,3.066927364894322,6.869431100572858,5.384753268105643,8.190649693352835,3.1092782633645193,6.916129602704729,5.3461250373295375,8.17172211919512
7,68.98184258597237,0.0004,66.60580477033342,3.046675794465201,6.889066914149693,5.389035286222185,8.197772782189505,3.046968981197902,6.817756680079869,5.382917070388794,8.18808696610587
8,68.22490114484515,0.0004,66.06297607421875,3.0413941860198976,6.787268761226109,5.402457898003714,8.20219292640686,3.0874420949390955,6.807579517364502,5.3870078427451,8.177628224236624
9,67.01140278407506,0.0004,64.86830618722098,3.0560225827353342,6.847159590039935,5.4272297041756765,8.219057546343123,3.1049344880240306,6.9087350572858535,5.398416144507272,8.204296336855208
10,65.39027622767857,0.0004,63.11047766549247,3.005428682054792,6.751207174573626,5.446931178229196,8.270189946038382,2.9901173864092145,6.730321979522705,5.474109615598406,8.353123290198189
11,65.30498700823102,0.0004,63.498568289620536,3.0201770544052122,6.65184029170445,5.431610059738159,8.233584955760412,3.03075612613133,6.685808413369315,5.408096047810146,8.221820225034442
12,64.47111086164202,0.0004,62.055244772774834,2.9212096691131593,6.4818850653512134,5.449184083938599,8.260140868595668,3.0226731027875626,6.711389187404087,5.479607452665056,8.329611723763602
13,63.04669124058315,0.0004,61.16577562604632,2.9924684388296945,6.588474954877581,5.450840132577079,8.280142954417638,3.083076626913888,6.78043669291905,5.480129943575178,8.388313702174596
14,62.74972381591797,0.0004,62.41724319458008,2.9809414522988456,6.574401610238212,5.473349380493164,8.403297567367554,3.023204244886126,6.613006183079311,5.457294382367816,8.359094892229352
15,62.50340303693499,0.0004,58.624546486990795,3.001926190512521,6.572743661063058,5.458450698852539,8.296512964793614,2.8927028042929512,6.440952464512416,5.484471920558384,8.371438210351126
16,60.589379228864395,0.0004,58.88935361589704,2.86438296181815,6.322809028625488,5.49100798198155,8.412699767521449,2.8321964842932563,6.328062507084438,5.499376739774432,8.438303858893258
17,60.6988531930106,0.0004,57.223975372314456,2.8908506631851196,6.277257796696254,5.495738002232143,8.41054596219744,2.7928097009658814,6.285578169141497,5.534197657448905,8.511131470543997
18,59.168543461390904,0.0004,56.515725925990516,2.8683534213474817,6.4790024621146065,5.527343736376081,8.486149821962629,2.8638738904680525,6.443660204751151,5.506266178403582,8.557670313971384
19,59.12589863368443,0.0004,57.337874385288785,2.9379177842821393,6.5324327128274104,5.516363000869751,8.55416212763105,3.0034440619604927,6.385152299063546,5.5464638914380755,8.637754501615252
20,58.30528204781668,0.0004,55.54813494001116,3.077403814452035,6.643139621189662,5.562538249152047,8.590502555029733,2.8086456741605486,6.166549185344151,5.521238551821027,8.590827008656094
21,57.40879767281668,0.0004,55.81026088169643,2.927945968082973,6.580793748583113,5.550771359034947,8.562576314381191,2.7532620702471053,6.0514262063162665,5.570160627365112,8.646207898003714
