epoch,loss,lr,val-loss,train-planningADE,train-planningFDE,train-predictionADE,train-predictionFDE,val-planningADE,val-planningFDE,val-predictionADE,val-predictionFDE
1,92.47856369018555,0.0004,72.39486530848912,3.881891928400312,8.569674546378,5.436060122081211,8.294459751674108,3.639613287789481,8.436071491241455,5.348711606434414,8.199670621326991
2,86.58897814069475,0.0004,69.42972946166992,3.7195024354117256,8.415158435276576,5.346349348340715,8.216097027914865,3.530193717139108,8.105473436628069,5.293404504231044,8.135180139541626
3,84.28621706281389,0.0004,67.25979701450893,3.5377877031053817,8.1158157484872,5.34108487537929,8.238256086621966,3.5362115178789413,8.10903787612915,5.2965980052948,8.213571528026035
4,82.50631256103516,0.0004,66.40121165684292,3.5950177328927175,8.219818878173829,5.371279409953526,8.317366279874529,3.469099657876151,7.970973641531808,5.346972894668579,8.339760071890694
5,81.25616367885044,0.0004,65.89725537981306,3.551216391154698,8.19879334313529,5.420335667473929,8.41349699156625,3.5790793487003874,8.259163434164865,5.395325374603272,8.436687176568167
6,79.21788286481585,0.0004,63.407130105154856,3.4622636079788207,7.916724491119385,5.454387474060058,8.497300243377685,3.2352887494223457,7.505191162654332,5.437820788792202,8.486981010437011
7,77.56396931239537,0.0004,61.12844815935407,3.453566564832415,7.938535390581404,5.469463797977992,8.501042222976684,3.3698911258152555,7.76395675114223,5.49853549003601,8.764484528132847
8,74.45873347691128,0.0004,61.57397428240095,3.237611174583435,7.322118977137975,5.5999337060110905,8.697485113143921,3.255325518335615,7.3897415297372,5.507244484765189,8.542522634778704
9,71.01981985909599,0.0004,61.725517817905974,3.212634549822126,7.184154496874128,5.642517845971244,8.603067656925747,3.1890545061656406,7.343921974727086,5.635271086011614,8.543045677457537
10,75.75652607509068,0.0004,61.648318372453964,3.2336613246372767,7.210299478258405,5.626529502868652,8.696742943355016,3.3658249957220896,7.7302025658743725,5.606484242847988,8.756691087995257
11,70.93463875906808,0.00034,59.21651349748884,3.112160062789917,6.96105455671038,5.684909043993269,8.83355701310294,2.991000076702663,6.84239924294608,5.643131446838379,8.817760508401053
12,68.89484481811523,0.00034,58.28976821899414,3.084872044835772,6.931449324744088,5.741285126549857,8.858502224513463,3.1604166235242572,7.284191499437605,5.595810079574585,8.7731803553445
